step,lt,err,locked,pred_x,pred_y,pred_z,true_x,true_y,true_z,drive_x,drive_y,drive_z,drive_xz
59,1.06861,0.0106199,1,-0.31182,-0.356677,0.0169447,-0.305853,-0.351263,0.000409042,-0.31182,-0.356677,0.0152502,-0.00369859
60,1.08672,0.0131136,1,-0.317761,-0.369346,0.0164941,-0.312039,-0.366081,-0.00524276,-0.317761,-0.369346,0.0148447,-0.00366884
61,1.10483,0.016078,1,-0.324993,-0.380925,0.0200461,-0.319871,-0.381691,-0.00731578,-0.324993,-0.380925,0.0180415,-0.00456039
62,1.12294,0.0185091,1,-0.332897,-0.393394,0.0260133,-0.329153,-0.397668,-0.00553788,-0.332897,-0.393394,0.0234119,-0.00606181
63,1.14106,0.0215057,1,-0.34166,-0.40335,0.0360664,-0.339644,-0.413493,0.000281729,-0.34166,-0.40335,0.0324598,-0.00862572
64,1.15917,0.0237226,1,-0.350364,-0.412854,0.0481839,-0.351039,-0.428547,0.0102161,-0.350364,-0.412854,0.0433655,-0.0118173
65,1.17728,0.026525,1,-0.359092,-0.418961,0.0636626,-0.36297,-0.442126,0.0241775,-0.359092,-0.418961,0.0572963,-0.0160025
66,1.19539,0.0285842,1,-0.366877,-0.423286,0.0802721,-0.375002,-0.453462,0.0418719,-0.366877,-0.423286,0.0722449,-0.020615
67,1.2135,0.0311481,1,-0.373748,-0.423591,0.0986273,-0.386636,-0.461775,0.06276,-0.373748,-0.423591,0.0887645,-0.0258032
68,1.23162,0.0328435,1,-0.379131,-0.421644,0.116141,-0.397328,-0.46635,0.0860357,-0.379131,-0.421644,0.104527,-0.0308229
69,1.24973,0.0347791,1,-0.383082,-0.415958,0.133268,-0.406516,-0.466627,0.110635,-0.383082,-0.415958,0.119941,-0.0357366
70,1.26784,0.0362047,1,-0.384923,-0.407938,0.147618,-0.413658,-0.462293,0.135284,-0.384923,-0.407938,0.132856,-0.039775
71,1.28595,0.0380708,1,-0.384576,-0.396712,0.159996,-0.418288,-0.453367,0.158594,-0.384576,-0.396712,0.143996,-0.0430714
72,1.30406,0.0396781,1,-0.382088,-0.383951,0.168543,-0.420057,-0.440237,0.179186,-0.382088,-0.383951,0.151689,-0.0450789
73,1.32218,0.0415661,1,-0.377285,-0.368973,0.174139,-0.418789,-0.423651,0.195839,-0.377285,-0.368973,0.156725,-0.04599
74,1.34029,0.0430619,1,-0.370609,-0.353977,0.174915,-0.4145,-0.404643,0.207619,-0.370609,-0.353977,0.157423,-0.0453776
75,1.3584,0.0442595,1,-0.362263,-0.338442,0.172438,-0.40741,-0.384415,0.213971,-0.362263,-0.338442,0.155194,-0.0437276
76,1.37651,0.0448258,1,-0.353143,-0.324676,0.16514,-0.397921,-0.364197,0.214749,-0.353143,-0.324676,0.148626,-0.0408225
77,1.39462,0.0447504,1,-0.34318,-0.312025,0.155148,-0.386578,-0.34511,0.210192,-0.34318,-0.312025,0.139634,-0.0372707
78,1.41274,0.0439572,1,-0.33337,-0.302816,0.141623,-0.374011,-0.328074,0.200843,-0.33337,-0.302816,0.12746,-0.0330489
79,1.43085,0.0423911,1,-0.323911,-0.295799,0.12661,-0.36088,-0.313749,0.187455,-0.323911,-0.295799,0.113949,-0.0287073
80,1.44896,0.0403942,1,-0.315317,-0.292429,0.109758,-0.34782,-0.302536,0.170885,-0.315317,-0.292429,0.0987822,-0.024226
81,1.46707,0.0375145,1,-0.307686,-0.291071,0.0933495,-0.335401,-0.294606,0.152013,-0.307686,-0.291071,0.0840146,-0.0201056
82,1.48518,0.0344421,1,-0.301493,-0.292983,0.0765625,-0.324104,-0.289951,0.131684,-0.301493,-0.292983,0.0689063,-0.0161582
83,1.5033,0.0305608,1,-0.296751,-0.296078,0.0613232,-0.314307,-0.28844,0.110672,-0.296751,-0.296078,0.0551909,-0.0127384
84,1.52141,0.0270271,1,-0.293614,-0.302251,0.0463429,-0.306292,-0.289873,0.0896727,-0.293614,-0.302251,0.0417086,-0.00952486
85,1.53952,0.0226646,1,-0.292338,-0.309455,0.0340837,-0.300247,-0.294019,0.0693005,-0.292338,-0.309455,0.0306753,-0.00697477
86,1.55763,0.0190704,1,-0.292781,-0.319324,0.0230934,-0.296284,-0.300638,0.0501044,-0.292781,-0.319324,0.0207841,-0.00473291
87,1.57574,0.0154608,1,-0.295023,-0.329618,0.0149182,-0.294453,-0.309498,0.0325807,-0.295023,-0.329618,0.0134264,-0.00308085
88,1.59386,0.0136979,1,-0.298954,-0.342079,0.00857588,-0.294752,-0.320374,0.0171864,-0.298954,-0.342079,0.00771829,-0.00179466
89,1.61197,0.0130139,1,-0.304481,-0.354309,0.0056859,-0.29714,-0.333039,0.00435087,-0.304481,-0.354309,0.00511731,-0.00121187
90,1.63008,0.014678,1,-0.311295,-0.368042,0.00538258,-0.301539,-0.34725,-0.0055182,-0.311295,-0.368042,0.00484433,-0.0011729
91,1.64819,0.0173679,1,-0.319222,-0.380295,0.00956659,-0.30784,-0.362724,-0.012035,-0.319222,-0.380295,0.00860993,-0.00213771
92,1.6663,0.0209502,1,-0.327925,-0.392881,0.0165049,-0.315895,-0.379123,-0.0148437,-0.327925,-0.392881,0.0148544,-0.00378865
93,1.68442,0.02503,1,-0.33734,-0.403046,0.0274794,-0.325517,-0.396022,-0.0136353,-0.33734,-0.403046,0.0247314,-0.00648892
94,1.70253,0.0289747,1,-0.346697,-0.41274,0.0409557,-0.336465,-0.412901,-0.00817559,-0.346697,-0.41274,0.0368602,-0.00993945
95,1.72064,0.0331966,1,-0.356048,-0.418934,0.0577305,-0.348437,-0.429124,0.00165634,-0.356048,-0.418934,0.0519574,-0.0143884
96,1.73875,0.0364568,1,-0.364366,-0.423408,0.0754389,-0.361061,-0.443952,0.0158208,-0.364366,-0.423408,0.067895,-0.0192411
97,1.75686,0.0397412,1,-0.371627,-0.424285,0.0948205,-0.373889,-0.456561,0.0340651,-0.371627,-0.424285,0.0853384,-0.0246665
98,1.77498,0.0420422,1,-0.377646,-0.422653,0.113655,-0.386403,-0.466098,0.0558757,-0.377646,-0.422653,0.10229,-0.030045
99,1.79309,0.0445225,1,-0.382015,-0.417139,0.132483,-0.398025,-0.471752,0.0804458,-0.382015,-0.417139,0.119235,-0.0354274
100,1.8112,0.0462938,1,-0.384269,-0.40886,0.148665,-0.408147,-0.47286,0.106675,-0.384269,-0.40886,0.133798,-0.039989
101,1.82931,0.0486456,1,-0.384043,-0.396903,0.162654,-0.416176,-0.469013,0.133213,-0.384043,-0.396903,0.146388,-0.0437261
102,1.84742,0.0508259,1,-0.381404,-0.383078,0.1725,-0.42158,-0.460158,0.158554,-0.381404,-0.383078,0.15525,-0.0460544
103,1.86554,0.0536891,1,-0.376342,-0.366796,0.179154,-0.423955,-0.446648,0.181176,-0.376342,-0.366796,0.161239,-0.0471961
104,1.88365,0.0564383,1,-0.369118,-0.350003,0.180615,-0.423072,-0.429251,0.199707,-0.369118,-0.350003,0.162553,-0.0466677
105,1.90176,0.0590803,1,-0.360201,-0.332841,0.178237,-0.418917,-0.409066,0.213075,-0.360201,-0.332841,0.160413,-0.0449408
